[11:15:52] [main/INFO]: ModLauncher running: args [--username, Casmin7, --version, forge-43.2.6, --gameDir, D:\Games\Mc\Instances\Starlight Society, --assetsDir, D:\Games\Mc\Install\assets, --assetIndex, 1.19, --uuid, 82f7ff2fdabd4b699217fbbd8d63ccff, --accessToken, ????????, --clientId, Y2IxMmNmNWYtOGZiNS00ZDYyLTg1NTgtM2E3MDIxMzRlNGZi, --xuid, 2535466807799235, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.6, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[11:15:52] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[11:15:56] [main/INFO]: Found mod file logprot-1.19.2-1.9.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file maenchants-1.19.2-6.0.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file moonlight-1.19.2-2.2.13-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file MouseTweaks-forge-mc1.19-2.23.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file MyServerIsCompatible-1.19-1.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file naturalist-forge-2.1.1-1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file NaturesCompass-1.19.2-1.10.0-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file NethersDelight-1.19-3.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file nightlights_1.19.2_1.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file oculus-mc1.19.2-1.2.8a.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file open-parties-and-claims-forge-1.19.2-0.16.6.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file OpenLoader-Forge-1.19.2-15.0.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file overloadedarmorbar-1.19.3-7.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Patchouli-1.19.2-77.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file PingHUD-2.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Placebo-1.19.2-7.1.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file platforms-1.19-1.10.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file player-animation-lib-forge-1.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Prism-1.19.1-1.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file PuzzlesLib-v4.3.12-1.19.2-Forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Quark-3.4-393.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file radiantgear-forge-2.0.1+1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file ReAuth-1.19-Forge-4.0.7.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file resourcefulconfig-forge-1.19.2-1.0.19.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file resourcefullib-forge-1.19.2-1.1.22.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file rhino-forge-1902.2.2-build.264.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file rubidium-0.6.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file rubidium_extras-1.19.2_v1.3.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file seamless_loading_screen-1.19.2-4.0.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file SereneSeasons-1.19.2-8.1.0.24.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file shetiphiancore-forge-1.19.0-3.11.3.01.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file shutupexperimentalsettings-1.0.5.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file simple-rpc-forge-1.19.x-3.2.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file SimpleBackups-1.19.1-2.1.8.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file SimpleDiscordLink-forge-1.19.1-2.2.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file simpleshops-1.2.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Smooth Swapping-1.19.2-1.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file smoothboot(reloaded)-mc1.19.2-0.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file smoothchunk-1.19.1-2.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file SoL-Carrot-1.19.2-1.14.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file spark-1.10.29-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Steam_Rails-1.19.2-1.1.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file supermartijn642configlib-1.1.6b-forge-mc1.19.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file supermartijn642corelib-1.1.4-forge-mc1.19.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file supplementaries-1.19.2-2.2.54.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file ToolBelt-1.19.2-1.19.7.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file ToolStats-Forge-1.19.2-12.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file trashslot-forge-1.19-12.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file TreeChop-1.19.2-forge-0.17.6.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file VisualWorkbench-v4.2.3-1.19.2-Forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file voicechat-forge-1.19.2-2.3.28.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Xaeros_Minimap_23.1.0_Forge_1.19.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file XaerosWorldMap_1.28.9_Forge_1.19.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsApi-1.19.2-Forge-3.8.8.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsBetterDesertTemples-1.19.2-Forge-2.2.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsBetterDungeons-1.19.2-Forge-3.2.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsBetterMineshafts-1.19.2-Forge-3.2.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsBetterNetherFortresses-1.19.2-Forge-1.0.4.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsBetterOceanMonuments-1.19.2-Forge-2.1.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsBetterStrongholds-1.19.2-Forge-3.2.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsBetterWitchHuts-1.19.2-Forge-2.1.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsBridges-1.19.2-Forge-3.1.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file YungsExtras-1.19.2-Forge-3.1.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/WARN]: Mod file D:\Games\Mc\Install\libraries\net\minecraftforge\fmlcore\1.19.2-43.2.6\fmlcore-1.19.2-43.2.6.jar is missing mods.toml file
[11:15:56] [main/WARN]: Mod file D:\Games\Mc\Install\libraries\net\minecraftforge\javafmllanguage\1.19.2-43.2.6\javafmllanguage-1.19.2-43.2.6.jar is missing mods.toml file
[11:15:56] [main/WARN]: Mod file D:\Games\Mc\Install\libraries\net\minecraftforge\lowcodelanguage\1.19.2-43.2.6\lowcodelanguage-1.19.2-43.2.6.jar is missing mods.toml file
[11:15:56] [main/WARN]: Mod file D:\Games\Mc\Install\libraries\net\minecraftforge\mclanguage\1.19.2-43.2.6\mclanguage-1.19.2-43.2.6.jar is missing mods.toml file
[11:15:56] [main/INFO]: Found mod file fmlcore-1.19.2-43.2.6.jar of type LIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@76954a33
[11:15:56] [main/INFO]: Found mod file javafmllanguage-1.19.2-43.2.6.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@76954a33
[11:15:56] [main/INFO]: Found mod file lowcodelanguage-1.19.2-43.2.6.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@76954a33
[11:15:56] [main/INFO]: Found mod file mclanguage-1.19.2-43.2.6.jar of type LANGPROVIDER with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@76954a33
[11:15:56] [main/INFO]: Found mod file client-1.19.2-20220805.130853-srg.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@76954a33
[11:15:56] [main/INFO]: Found mod file forge-1.19.2-43.2.6-universal.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@76954a33
[11:15:57] [main/INFO]: Found 8 dependencies adding them to mods collection
[11:15:57] [main/INFO]: Found mod file kffmod-3.10.0.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5bcb04cb
[11:15:57] [main/INFO]: Found mod file kfflib-3.10.0.jar of type GAMELIBRARY with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5bcb04cb
[11:15:57] [main/INFO]: Found mod file flywheel-forge-1.19.2-0.6.8.a-14.jar of type MOD with provider net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator@5bcb04cb
